Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership
KTCC 899F,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_6,5603.65,12-01-25,Reduced air intake,Preventive,138.8,1081.12,27292.48,45026.95
KTCA 764H,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_2,4607.36,11-06-25,Overheating,Emergency,112.64,526.78,18953.67,40230.67
KTCC 227E,Tractor,TS 6000,Battery,Electrical,AutoGen_10,5488.06,19-04-25,Won't start,Emergency,63.2,1591.71,25072.8,41389.15
KTCA 379H,Tractor,TS 6000,Battery,Electrical,AutoGen_9,13746.99,14-12-24,Low voltage,Preventive,31.47,1353.29,20239.62,53978.81
KTCC 508B,Tractor,TT 490,Radiator,Cooling System,AutoGen_1,8888.97,04-12-24,Coolant leakage,Breakdown,135.75,715.96,25025.76,47235.94
KTCB 651G,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_7,14969.43,23-04-25,Overheating,Preventive,116.49,456.51,5285.67,32013.71
KTCC 996D,Tractor,TT 490,Fuel Pump,Fuel System,JKT,10112.37,23-04-25,Overheating,Breakdown,158.31,1961.99,22308.5,49660.92
KTCB 373B,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_4,6815.33,09-09-24,Overheating,Preventive,169.29,775.48,26928.96,47674.92
KTCA 701C,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_6,14644.23,03-09-24,Low power,Preventive,189.28,1370.86,27037.18,47935.72
KTCB 692A,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_6,12731.19,11-11-24,Engine noise,Corrective,72.02,1114.39,18387.98,41371.55
KTCA 522E,Tractor,TS 6000,Oil Filter,Engine,AutoGen_5,8125.51,15-03-25,Oil leakage,Breakdown,188.74,880.27,16877.83,43341.67
KTCA 703B,Tractor,TT 490,Brake Pads,Braking System,AutoGen_4,13118.51,29-04-25,Low power,Emergency,14.47,846.33,21946.67,52331.12
KTCB 987E,Tractor,TS 6110,Tyre,Wheels,JKT,6700.85,17-02-25,Puncture,Emergency,50.98,1503.37,6370.02,28989.81
KTCA 801D,Tractor,TT 490,Radiator,Cooling System,AutoGen_7,11912.12,14-08-24,Coolant leakage,Breakdown,169.96,218.38,28968.26,48895.37
KTCB 271A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_1,5471.71,16-12-24,Hydraulic issue,Corrective,178.28,448.18,12299.68,24853.72
KTCA 666A,Tractor,TT 490,Tyre,Wheels,JKT,14970.23,15-03-25,Tyre burst,Emergency,76.72,1894.34,25382.2,57169.49
KTCB 224C,Tractor,TT 490,Tyre,Wheels,JKT,9175.21,17-09-24,Tyre burst,Breakdown,149.74,1075.4,10819.89,28904.7
KTCC 904B,Tractor,TS 6110,Radiator,Cooling System,AutoGen_10,6469.16,11-02-25,Overheating,Preventive,34.69,320.16,10606.16,32280.9
KTCC 637H,Tractor,TT 490,Alternator,Electrical,AutoGen_2,7662.05,03-07-24,No power output,Preventive,28.75,774.76,19294.73,35924.97
KTCC 246G,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_8,5353.9,17-11-24,Reduced air intake,Breakdown,49.95,161.79,8157.13,20766.09
KTCB 828E,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_5,5530.07,31-08-24,Clogged filter,Preventive,83.71,498.9,5217.03,16304.16
KTCB 261C,Tractor,TS 6000,Oil Filter,Engine,AutoGen_1,2749.97,21-06-24,Reduced engine performance,Preventive,89.49,1278.09,28186.65,36391.44
KTCA 746E,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_10,7357.84,29-11-24,Fluid leakage,Breakdown,117.06,1226.54,24087.42,49361.2
KTCB 791E,Tractor,TS 6110,Radiator,Cooling System,AutoGen_9,2687.52,25-08-24,Overheating,Corrective,26.82,349.97,19209.14,33981.35
KTCB 516E,Tractor,TT 490,Spark Plug,Ignition,AutoGen_9,2126.52,02-12-24,Low power,Emergency,126.84,1031.6,14044.88,28072.71
KTCA 625F,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_10,9932.27,21-06-24,Low pressure,Preventive,30.78,509.16,19311.47,34675.47
KTCA 227G,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_8,12962.09,10-10-24,Low pressure,Breakdown,110.68,1989.37,20625.88,49476.74
KTCA 862A,Tractor,TT 490,Air Filter,Air Intake,JKT,3148.23,24-12-24,Reduced air intake,Corrective,68.98,478.78,9304.62,22249.19
KTCA 304G,Tractor,TS 6000,Brake Pads,Braking System,JKT,9486.69,14-12-24,Overheating,Emergency,138.31,927.75,29847.11,54355.88
KTCA 956G,Tractor,TS 6000,Tyre,Wheels,JKT,5589.99,11-03-25,Puncture,Breakdown,82.32,1280.45,22841.47,46022.66
KTCC 198F,Tractor,TT 490,Oil Filter,Engine,AutoGen_9,12940.73,20-11-24,Oil leakage,Corrective,93.42,1686.22,13316.64,43363.73
KTCB 640A,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_10,4452.47,24-07-24,Engine noise,Preventive,126.49,183.86,15612.35,27474.33
KTCC 337D,Tractor,TS 6110,Alternator,Electrical,AutoGen_6,3849.3,15-04-25,Electrical failure,Corrective,112.79,1611.8,15891.97,39425.74
KTCA 567B,Tractor,TT 490,Radiator,Cooling System,AutoGen_4,9034.43,09-06-25,Coolant leakage,Preventive,76.48,146.22,8280.86,27701.53
KTCC 342A,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,AutoGen_9,5609.88,07-09-24,Engine noise,Emergency,23.89,1536.3,20486.43,32765.59
KTCB 546E,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_10,11319.05,16-12-24,Clogged filter,Emergency,132.95,1156.98,22408.26,42090.59
KTCB 866E,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_6,9502.19,06-09-24,Low power,Preventive,185.09,982.51,13002.8,30732.91
KTCA 752E,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_2,9788.74,04-09-24,Low pressure,Breakdown,66.22,1155.83,26810,48103.09
KTCC 356B,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_1,9952.72,25-11-24,Reduced air intake,Emergency,55.2,577.1,23177.94,43947.4
KTCB 862A,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_6,5780.49,18-08-24,Overcharging,Preventive,181.59,1099.44,15915.71,29924.69
KTCC 947H,Tractor,TT 490,Alternator,Electrical,AutoGen_10,6173.18,30-09-24,Electrical failure,Preventive,73.43,956.78,12537.53,34370.2
KTCB 514D,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_1,8511.97,24-07-24,Engine noise,Preventive,80.94,820.49,14519.81,38007.36
KTCB 825C,Tractor,TS 6000,Oil Filter,Engine,AutoGen_8,7677.34,04-03-25,Oil leakage,Breakdown,33.45,556.04,13961.59,38367.72
KTCC 693E,Tractor,TS 6000,Alternator,Electrical,JKT,2713.19,06-12-24,Electrical failure,Emergency,121.12,607.14,5330.55,19528.73
KTCA 318B,Tractor,TT 490,Brake Pads,Braking System,AutoGen_4,9370.3,20-06-24,Low power,Corrective,127.27,290.78,7187.49,23714.13
KTCB 172D,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_6,12798.76,21-01-25,Overheating,Preventive,92.15,1915.93,9846.34,34057.42
KTCB 588A,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_7,7704.55,14-06-25,Low voltage,Breakdown,184.21,1196.59,20273.31,44275.9
KTCC 644C,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_3,14543.76,03-11-24,Low power,Corrective,13.15,1305.93,8312.66,37296.48
KTCA 661A,Tractor,TT 490,Brake Pads,Braking System,AutoGen_7,6542.56,28-04-25,Low power,Breakdown,45.76,1211.35,13206.98,30096.87
KTCA 200G,Tractor,TS 6110,Oil Filter,Engine,AutoGen_3,13214.41,19-10-24,Reduced engine performance,Emergency,41.02,462.69,15147.79,36851.9
KTCA 235H,Tractor,TT 490,Oil Filter,Engine,JKT,9127.57,25-11-24,Reduced engine performance,Preventive,142.71,514.49,22757.29,50061.59
KTCA 786D,Tractor,TS 6000,Fuel Pump,Fuel System,JKT,6788.99,29-03-25,Engine noise,Emergency,126.5,1898.59,18487.9,30767.47
KTCC 998D,Tractor,TS 6110,Oil Filter,Engine,AutoGen_6,2156.44,10-05-25,Reduced engine performance,Preventive,132.92,1122.25,17086.74,25553
KTCA 367D,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_10,11330.92,23-06-24,Low power,Preventive,184.14,513.06,23142.12,39491.81
KTCB 930E,Tractor,TS 6000,Alternator,Electrical,AutoGen_1,6774.51,16-07-24,No power output,Breakdown,60.66,1561.19,14970.17,37691.82
KTCC 706D,Tractor,TT 490,Alternator,Electrical,AutoGen_1,5175.67,06-06-25,Electrical failure,Emergency,189.21,1789.2,29504.67,42101.68
KTCA 575B,Tractor,TT 490,Brake Pads,Braking System,JKT,2900.19,20-05-25,Engine noise,Corrective,25.55,975.94,14504.97,32102.35
KTCC 318E,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_1,13363.45,27-03-25,Low power,Emergency,106.52,1857.12,12191.22,43412.77
KTCC 478H,Tractor,TS 6000,Tyre,Wheels,JKT,5333.74,05-07-24,Puncture,Corrective,68.56,1292.41,23128.6,40178.18
KTCB 835G,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_5,6693.16,12-05-25,Low pressure,Corrective,12.92,939.14,23370.23,46636.04
KTCC 364H,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_6,9916.04,23-10-24,Coolant leakage,Emergency,102.4,1190.09,26595.83,42500.94
KTCA 167B,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,9563.1,31-08-24,New tyre,Breakdown,179.39,316.46,7477.07,27218.45
KTCA 721G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_3,4131.19,06-12-24,Hydraulic issue,Corrective,16.9,1772.24,26065.72,40748.99
KTCA 248A,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_9,9846.53,10-08-24,Fluid leakage,Breakdown,86.72,1442.82,22295.88,43705.4
KTCA 351E,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_3,2872.2,07-01-25,Hydraulic issue,Emergency,93.43,1002,28605.61,38921.67
KTCC 571C,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_5,4461.05,02-06-25,Fluid leakage,Preventive,121.54,1632.18,11540.62,23851.73
KTCB 104H,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_5,9330.47,29-11-24,Engine noise,Breakdown,173.41,963.05,23007.47,38598.5
KTCB 435G,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_7,8268.91,13-01-25,Battery issue,Breakdown,34.47,1070.23,10038.44,32985.4
KTCC 431D,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_6,12065.9,04-06-25,Fluid leakage,Corrective,40.35,1606.15,12678.17,44180.34
KTCB 415B,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_2,5653.96,08-09-24,Overheating,Preventive,132.55,637.03,7843.83,20685.44
KTCA 833D,Tractor,TT 490,Battery,Electrical,AutoGen_1,7275.44,05-09-24,Battery issue,Corrective,160.9,557.1,21792.72,47101.85
KTCB 872C,Tractor,TT 490,Brake Pads,Braking System,AutoGen_8,7233.07,30-04-25,Low power,Preventive,135.94,1980.16,25754.13,51620.77
KTCB 526A,Tractor,TT 490,Brake Pads,Braking System,AutoGen_10,1692.24,28-03-25,Overheating,Emergency,45.39,1376.92,9025.28,19689.85
KTCA 485F,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_7,7393.87,16-04-25,Hydraulic issue,Corrective,69.29,1403.97,28381.6,49181.14
KTCB 557G,Tractor,TS 6110,Oil Filter,Engine,AutoGen_6,2589.61,21-03-25,Reduced engine performance,Emergency,58.08,1179.76,17236.77,38766.09
KTCA 876A,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_6,12321.47,03-06-25,Hydraulic issue,Emergency,158.14,562.31,25156.53,50436.2
KTCC 795E,Tractor,TT 490,Battery,Electrical,AutoGen_8,7873.79,26-11-24,Battery issue,Corrective,73.08,1402.37,7267.42,26908.23
KTCA 571F,Tractor,TT 490,Battery,Electrical,AutoGen_4,6373.81,08-05-25,Low voltage,Emergency,107.06,190.19,26410.77,46768.43
KTCC 625C,Tractor,TT 490,Alternator,Electrical,AutoGen_2,10074.68,26-07-24,No power output,Corrective,66.07,662.25,24848.05,42897.75
KTCA 492D,Tractor,TS 6000,Alternator,Electrical,AutoGen_8,13523.91,15-02-25,No power output,Emergency,75.13,1924.19,22851.32,51971.94
KTCA 426D,Tractor,TS 6110,Oil Filter,Engine,AutoGen_10,8703.5,30-12-24,Reduced engine performance,Corrective,69.39,1083.88,14993.64,38756.64
KTCC 707H,Tractor,TS 6000,Brake Pads,Braking System,JKT,7924.84,18-08-24,Low power,Breakdown,75.23,1104.36,26469.75,53149.75
KTCA 868G,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_6,12629.88,19-07-24,Hydraulic issue,Emergency,77.72,715.17,12267.54,32288.13
KTCB 439A,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_6,2686.71,28-10-24,Clogged filter,Breakdown,52.35,1648.07,16814.46,35823.87
KTCA 365C,Tractor,TT 490,Battery,Electrical,AutoGen_1,3298.32,14-08-24,Low voltage,Corrective,144.84,1993.55,17719.91,35175.57
KTCB 198G,Tractor,TT 490,Oil Filter,Engine,AutoGen_8,3099.63,27-04-25,Oil leakage,Preventive,12.76,689.64,14293.55,24021.16
KTCB 888D,Tractor,TS 6110,Radiator,Cooling System,AutoGen_9,13357.72,19-01-25,Overheating,Emergency,12.54,1367.7,7705.46,26624.67
KTCA 571F,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,JKT,13931.5,02-11-24,Reduced air intake,Breakdown,113.76,1641.32,18971.81,38288.1
KTCC 140D,Tractor,TS 6000,Oil Filter,Engine,AutoGen_3,8805.52,28-12-24,Oil leakage,Emergency,61.81,1204.11,28083.9,50517.22
KTCB 863F,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_7,13665.22,26-05-25,Engine noise,Corrective,22.19,413.21,26137.17,56680.69
KTCA 920A,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_5,7964.33,08-02-25,Clogged filter,Corrective,195.4,1265.89,6870.14,25612.05
KTCB 896B,Tractor,TS 6110,Tyre,Wheels,JKT,4049.49,06-12-24,Tyre burst,Corrective,99.5,1754.28,25670.82,43505.85
KTCC 622A,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,JKT,2718.32,25-07-24,Engine noise,Emergency,172.2,1716.58,24247.08,44050.15
KTCC 412E,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_10,7063.99,28-07-24,Clogged filter,Corrective,11.38,1491.21,6620.83,32147.45
KTCA 389B,Tractor,TT 490,Oil Filter,Engine,JKT,1952.68,17-06-25,Oil leakage,Corrective,99.61,771.04,7692.13,23811.12
KTCA 333H,Tractor,TS 6000,Battery,Electrical,AutoGen_2,3339.48,30-12-24,Won't start,Preventive,171.57,972.54,14752.34,33700.4
KTCB 184H,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_10,9494.01,15-11-24,Overheating,Breakdown,86.5,706.37,28803.15,43891.1
KTCA 904C,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_6,14796.81,03-02-25,Hydraulic issue,Breakdown,69.86,443.5,15026.51,48231.38
KTCB 250G,Tractor,TS 6110,Alternator,Electrical,JKT,12699.06,05-03-25,No power output,Emergency,153.28,1541,9057.26,34745.17
KTCB 658A,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_3,3680.32,19-09-24,Reduced air intake,Corrective,101.85,369.59,7217.34,17142.2
KTCC 551G,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,3453.85,18-06-24,New tyre,Emergency,161.4,916.26,10770.05,23773.69
KTCA 335H,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_9,3520.22,04-03-25,Low pressure,Preventive,132.4,1563.91,13960.19,32808.52
KTCA 992D,Tractor,TS 6110,Spark Plug,Ignition,JKT,4239.94,14-03-25,Hydraulic issue,Corrective,63.17,1062.13,24179.88,47678.54
KTCA 261D,Tractor,TS 6110,Alternator,Electrical,AutoGen_10,5106.23,06-11-24,No power output,Preventive,172.14,1452.47,12882.42,27539.35
KTCC 684B,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_2,7674.69,18-10-24,Hydraulic issue,Breakdown,104.94,677.11,14735.59,35844.34
KTCC 404B,Tractor,TS 6000,Tyre,Wheels,JKT,6622.55,13-01-25,New tyre,Corrective,37.08,1531.85,12644.49,25904.87
KTCC 141C,Tractor,TT 490,Alternator,Electrical,AutoGen_10,5825.82,05-05-25,Overcharging,Preventive,136.95,1390.88,27371.39,47672.21
KTCA 976A,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_2,1505.65,19-09-24,Oil leakage,Corrective,38.63,1388.42,24811.61,36388.47
KTCB 256G,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_6,6786.61,25-08-24,Engine noise,Emergency,124.97,1586.34,5056.56,19981.6
KTCB 934E,Tractor,TS 6000,Battery,Electrical,AutoGen_1,3735.58,01-03-25,Battery issue,Breakdown,22.09,305.94,24039.02,41177.53
KTCC 669B,Tractor,TS 6110,Battery,Electrical,JKT,3172.33,08-08-24,Low voltage,Corrective,33.09,1947.82,27023.14,48186.26
KTCB 645D,Tractor,TT 490,Air Filter,Air Intake,AutoGen_7,13586.1,10-04-25,Reduced air intake,Preventive,119.09,1348.4,28900.14,49070.07
KTCC 627F,Tractor,TT 490,Fuel Pump,Fuel System,JKT,10179.74,27-10-24,Overheating,Corrective,181.91,115.61,28438.31,46055.76
KTCB 402F,Tractor,TT 490,Radiator,Cooling System,AutoGen_2,9722.45,13-05-25,Overheating,Corrective,89.41,783.07,5137.27,30022.54
KTCA 897C,Tractor,TT 490,Radiator,Cooling System,AutoGen_2,2907.58,10-11-24,Coolant leakage,Emergency,136.75,1129.28,11680.95,32541.83
KTCB 258B,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_1,12335.11,15-04-25,Hydraulic issue,Corrective,88.48,1538.92,6026.12,32861.21
KTCA 209A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_10,7873.47,17-05-25,Overheating,Breakdown,42.29,459.41,25846.27,43612.68
KTCB 402H,Tractor,TT 490,Alternator,Electrical,AutoGen_9,2658.14,22-12-24,Electrical failure,Preventive,26.43,1673.24,5138.24,16195.84
KTCB 233D,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_5,7211.13,14-03-25,Low voltage,Preventive,124.83,284.74,28088.58,45137.77
KTCB 370C,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,14176.66,30-05-25,New tyre,Emergency,193.9,194.54,17244.26,50538.1
KTCB 361F,Tractor,TT 490,Radiator,Cooling System,AutoGen_1,12465.32,29-09-24,Overheating,Emergency,30.3,844.61,22528.12,52543.51
KTCC 485C,Tractor,TS 6000,Tyre,Wheels,JKT,10062.63,01-12-24,New tyre,Breakdown,57.28,1413.14,7728.08,27979.73
KTCC 547A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_6,14304.46,05-01-25,Overheating,Emergency,10.92,603.02,9959.27,38494.64
KTCA 273B,Tractor,TS 6110,Tyre,Wheels,JKT,3477.41,17-02-25,Puncture,Preventive,94.42,108.06,17517.4,32515.36
KTCA 490H,Tractor,TS 6000,Tyre,Wheels,JKT,9864.47,28-11-24,New tyre,Preventive,33.24,1759.95,28459.27,52426.29
KTCB 541A,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_7,5651.34,01-12-24,Low voltage,Corrective,62.01,1966.96,11863.99,31182.03
KTCA 366F,Tractor,TT 490,Brake Pads,Braking System,JKT,14841.85,06-12-24,Low power,Corrective,144.77,1532.84,11178.8,31158.84
KTCC 952H,Tractor,TS 6110,Fuel Pump,Fuel System,JKT,7497.53,26-03-25,Overheating,Corrective,117.98,1598.82,25702.69,41870.27
KTCC 435C,Tractor,TS 6000,Battery,Electrical,AutoGen_1,6097.66,26-02-25,Won't start,Emergency,28.98,700.07,11222.73,37312.02
KTCA 700D,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_1,14828.52,18-08-24,Hydraulic issue,Breakdown,170.24,1476.13,5998.48,27288.88
KTCB 892E,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_6,10388.4,02-05-25,Oil leakage,Corrective,91.21,1898.65,10320.61,26381.82
KTCA 928C,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_2,14985.13,23-09-24,No power output,Breakdown,150.14,157.98,18423.19,41366.74
KTCB 150B,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_9,5456.86,15-05-25,Engine noise,Corrective,134.09,1039.99,22375.66,41037.41
KTCA 177D,Tractor,TS 6110,Radiator,Cooling System,AutoGen_2,13120.85,01-06-25,Overheating,Breakdown,96.72,672.87,26353.44,58871.56
KTCA 273A,Tractor,TS 6110,Radiator,Cooling System,AutoGen_2,14818.27,22-05-25,Overheating,Corrective,75.3,1523.36,29660.36,53108.23
KTCC 878A,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_6,6105.89,22-04-25,Overheating,Emergency,11.73,228.06,5658.52,28282.18
KTCC 227A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_4,6301.72,26-03-25,Low pressure,Emergency,101.02,976.27,24269.59,46015.36
KTCC 267F,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_8,14161.8,19-07-24,Low power,Emergency,184.82,1102.33,24117.05,50395.51
KTCA 898A,Tractor,TT 490,Battery,Electrical,AutoGen_10,3262.61,22-08-24,Won't start,Preventive,13.19,969.58,10430.82,22044.5
KTCC 491A,Tractor,TS 6110,Oil Filter,Engine,JKT,10796.52,18-12-24,Oil leakage,Breakdown,26.03,1193.64,29163.72,51326.66
KTCA 796F,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,AutoGen_8,11752.71,28-10-24,Engine noise,Preventive,177.99,515.7,15258.06,34122.16
KTCC 499G,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_1,13254.85,11-09-24,Overheating,Corrective,134.46,1092.04,17392.32,40545.1
KTCC 334G,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_1,13990.5,09-06-25,Low pressure,Breakdown,17.72,1740.49,19273.09,51032.8
KTCB 363A,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_2,2334.4,19-08-24,Oil leakage,Emergency,178.93,276.57,11585.3,23163.51
KTCB 950H,Tractor,TS 6110,Radiator,Cooling System,JKT,13699.74,15-12-24,Coolant leakage,Emergency,143.54,1507.15,18890.35,46209.39
KTCC 453H,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,8999.29,25-10-24,Engine noise,Breakdown,187.13,1730.81,26896.78,50054.84
KTCB 935C,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_8,2542.7,19-04-25,Reduced air intake,Emergency,44.27,1809.09,20715.1,35535.81
KTCC 423F,Tractor,TT 490,Alternator,Electrical,AutoGen_7,14343.59,08-08-24,No power output,Emergency,166.1,1559.41,15041.15,34813.38
KTCB 786B,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_10,8342.1,20-09-24,Overheating,Breakdown,116.07,1959.91,28321.32,45403.35
KTCA 803C,Tractor,TS 6000,Radiator,Cooling System,JKT,1901.26,08-06-25,Overheating,Preventive,81.33,272.87,16175.31,29709.43
KTCC 297B,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_3,3002.92,29-01-25,Overheating,Breakdown,183.32,1522.64,29924.2,45319.33
KTCC 544C,Tractor,TT 490,Radiator,Cooling System,AutoGen_10,11820.54,26-06-24,Coolant leakage,Preventive,59.82,1043.56,7490.71,38572.52
KTCA 170C,Tractor,TS 6000,Radiator,Cooling System,AutoGen_10,2853.96,09-03-25,Overheating,Corrective,105.44,1352.58,21438.23,43072.07
KTCB 470E,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_4,13560.12,20-10-24,Low power,Breakdown,95.47,873.28,25477.96,48980.3
KTCA 960D,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_10,10053.99,13-07-24,Low pressure,Emergency,171.22,177.85,10691.01,35006.38
KTCC 405D,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_4,7387.06,08-05-25,Reduced engine performance,Corrective,102.55,403.74,29650.87,53486.38
KTCA 883B,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_6,13800.05,08-04-25,Hydraulic issue,Breakdown,30.23,489.24,8478.48,39226.92
KTCC 449F,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_5,6942.37,15-03-25,Overheating,Breakdown,45.69,1064.96,7946.58,24241.38
KTCA 772G,Tractor,TS 6110,Oil Filter,Engine,AutoGen_4,11795.8,14-08-24,Oil leakage,Emergency,175.02,1893.18,26739.92,47705.76
KTCA 182G,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_10,4643.3,09-07-24,Reduced air intake,Corrective,146.66,488.82,28551.65,42132.93
KTCC 859C,Tractor,TT 490,Fuel Pump,Fuel System,JKT,8204.36,02-04-25,Low power,Breakdown,39.44,604.4,7117.32,33497.45
KTCA 369G,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_1,8195.16,28-11-24,Reduced air intake,Emergency,77.75,959.19,14763.24,32365.9
KTCB 585C,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,9851.23,09-01-25,Tyre burst,Corrective,28.92,602.87,17968.93,34032.97
KTCC 778G,Tractor,TS 6000,Radiator,Cooling System,AutoGen_8,6995.68,04-10-24,Coolant leakage,Emergency,144.75,328.34,22873.57,41097.96
KTCC 669B,Tractor,TS 6110,Fuel Pump,Fuel System,JKT,6132.77,15-10-24,Engine noise,Emergency,173.52,1793.46,8114.15,26433.7
KTCC 843C,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_4,13261.13,19-08-24,Hydraulic issue,Preventive,144.39,397.56,15486.66,47962.08
KTCA 638E,Tractor,TS 6110,Air Filter,Air Intake,JKT,5383.52,04-02-25,Reduced air intake,Corrective,51.61,934.76,13211.17,28422.53
KTCA 144C,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,5892.58,03-09-24,Tyre burst,Corrective,86.89,1315.4,22238.48,40727.54
KTCB 588A,Tractor,TS 6000,Battery,Electrical,AutoGen_1,10005.5,14-07-24,Battery issue,Breakdown,113.79,1257.44,28500.34,57852.31
KTCB 141C,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,9637.04,28-10-24,New tyre,Preventive,52.75,556.18,17137.67,38017.59
