Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership,REG. NO.,Type_of_Service
KTCB 446G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_8,6441.8,11/13/2024,Hydraulic issue,Corrective,310.92,1511.66,17148.21,41968.37,,Minor Service
KTCA 495B,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_7,12792.93,03/11/2024,Overheating,Breakdown,246.97,1210.91,29115.56,60105.05,,Minor Service
KTCA 718E,Tractor,TS 6110,Tyre,Wheels,JKT,13334.25,04/20/2025,Puncture,Preventive,143.22,469.86,9444.93,30863.59,,Minor Service
KTCA 442C,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_6,14889.23,07/15/2024,Clogged filter,Emergency,82.35,337.36,6251.0,36695.98,,Minor Service
KTCB 159A,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_2,10538.48,02/13/2025,Low pressure,Preventive,370.39,1440.24,5596.76,30140.66,,Minor Service
KTCA 429A,Tractor,TS 6000,Oil Filter,Engine,AutoGen_2,5499.79,07/29/2024,Oil leakage,Preventive,264.01,1305.61,27151.36,41206.59,,Minor Service
KTCA 308F,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_3,1654.05,03/13/2025,Overheating,Breakdown,131.62,632.42,28721.14,43380.23,,Minor Service
KTCC 760H,Tractor,TS 6110,Battery,Electrical,AutoGen_2,6165.85,06/30/2024,Battery issue,Preventive,178.4,845.02,5334.81,19889.83,,Minor Service
KTCC 550B,Tractor,TT 490,Air Filter,Air Intake,AutoGen_7,5182.12,01/05/2025,Clogged filter,Emergency,345.81,1568.44,6916.31,20202.29,,Minor Service
KTCB 870C,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_7,11059.54,07/17/2024,Hydraulic issue,Emergency,453.68,1453.75,18501.5,44814.25,,Minor Service
KTCC 927F,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_7,10366.93,04/29/2025,Hydraulic issue,Emergency,216.39,1019.52,9364.82,27772.3,,Minor Service
KTCC 479F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_8,12195.15,11/23/2024,Fluid leakage,Emergency,77.01,337.23,26101.09,50460.2,,Minor Service
KTCB 501B,Tractor,TT 490,Battery,Electrical,AutoGen_9,4195.09,05/26/2025,Battery issue,Breakdown,114.42,501.23,15760.33,34909.31,,Minor Service
KTCC 861D,Tractor,TS 6110,Tyre,Wheels,JKT,12858.88,06/11/2024,Puncture,Emergency,450.31,1369.82,27905.69,50157.45,,Minor Service
KTCB 513E,Tractor,TS 6110,Radiator,Cooling System,AutoGen_1,6816.66,08/25/2024,Coolant leakage,Corrective,141.54,494.26,5533.63,30454.95,,Minor Service
KTCC 775G,Tractor,TT 490,Battery,Electrical,AutoGen_1,12739.46,02/16/2025,Won't start,Corrective,492.54,1743.1,23254.06,55899.64,,Minor Service
KTCC 149C,Tractor,TS 6110,Radiator,Cooling System,AutoGen_1,4158.14,03/21/2025,Coolant leakage,Corrective,345.28,1646.01,18945.45,28926.25,,Minor Service
KTCA 726G,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_6,3141.71,02/16/2025,Hydraulic issue,Emergency,434.74,1524.66,13128.16,34748.42,,Minor Service
KTCB 782G,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_9,12945.67,11/08/2024,Hydraulic issue,Breakdown,206.48,929.99,18167.78,37490.67,,Minor Service
KTCB 132G,Tractor,TS 6000,Radiator,Cooling System,AutoGen_10,10679.99,05/29/2025,Coolant leakage,Corrective,97.78,402.69,5516.9,28181.1,,Minor Service
KTCB 538A,Tractor,TT 490,Spark Plug,Ignition,AutoGen_7,14027.35,05/01/2025,Low power,Corrective,276.04,1307.17,25070.82,56847.48,,Minor Service
KTCA 258G,Tractor,TS 6110,Tyre,Wheels,JKT,4950.05,10/23/2024,New tyre,Preventive,462.39,1840.54,19078.32,31634.41,,Minor Service
KTCC 634H,Tractor,TS 6110,Tyre,Wheels,JKT,12563.03,12/28/2024,New tyre,Emergency,323.67,1023.94,12549.51,31933.11,,Minor Service
KTCA 202A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_9,12641.21,08/02/2025,Overheating,Preventive,255.58,830.53,10195.08,31379.19,,Minor Service
KTCB 320G,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_2,14445.98,02/06/2025,Hydraulic issue,Preventive,260.73,852.31,8470.46,32734.94,,Minor Service
KTCB 388C,Tractor,TT 490,Brake Pads,Braking System,AutoGen_6,12146.61,07/23/2024,Engine noise,Corrective,330.74,1622.17,26463.13,48071.7,,Major Service
KTCB 234H,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_8,12663.73,05/22/2025,Clogged filter,Emergency,292.02,1431.78,20179.59,52358.3,,Minor Service
KTCB 139G,Tractor,TS 6000,Tyre,Wheels,JKT,4091.58,10/29/2024,New tyre,Emergency,343.43,1387.06,24020.49,41774.55,,Minor Service
KTCA 947A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_10,14972.99,09/08/2024,Fluid leakage,Breakdown,178.8,741.94,26939.64,54621.16,,Minor Service
KTCB 907F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_5,11821.61,08/20/2024,Low pressure,Breakdown,180.39,596.9,9775.08,29679.68,,Minor Service
KTCC 738B,Tractor,TT 490,Air Filter,Air Intake,AutoGen_10,10352.02,05/29/2025,Clogged filter,Breakdown,394.97,1970.44,11675.93,39018.06,,Minor Service
KTCB 518B,Tractor,TS 6110,Battery,Electrical,AutoGen_1,10543.99,09/12/2024,Won't start,Preventive,372.36,1731.33,22436.96,52287.95,,Minor Service
KTCC 689E,Tractor,TS 6110,Alternator,Electrical,AutoGen_2,7345.2,11/26/2024,Electrical failure,Corrective,152.76,659.61,11299.27,30328.62,,Minor Service
KTCB 487E,Tractor,TS 6000,Tyre,Wheels,JKT,14605.55,04/29/2025,Tyre burst,Breakdown,189.72,869.53,7913.12,38095.79,,Minor Service
KTCC 258G,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_2,14413.79,02/25/2025,Overheating,Emergency,414.0,1528.74,21948.51,47237.27,,Minor Service
KTCC 621H,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_6,12585.34,10/25/2024,Overheating,Emergency,38.42,175.03,26671.22,57209.27,,Minor Service
KTCC 131G,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_4,4841.66,10/18/2024,Reduced air intake,Emergency,400.27,1947.22,6547.85,28347.7,,Minor Service
KTCC 665C,Tractor,TS 6110,Tyre,Wheels,JKT,2233.24,05/20/2025,Puncture,Breakdown,330.95,1443.44,23913.89,39814.01,,Minor Service
KTCC 236B,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_2,7861.57,06/12/2024,Reduced air intake,Corrective,252.03,812.19,12096.35,32862.07,,Minor Service
KTCA 894A,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_5,4530.83,05/27/2025,Hydraulic issue,Corrective,446.6,1947.56,17390.03,28510.08,,Minor Service
KTCC 169B,Tractor,TS 6110,Brake Pads,Braking System,JKT,1738.17,02/12/2024,Engine noise,Breakdown,468.31,1740.77,9814.69,23994.86,,Major Service
KTCA 745D,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_1,2710.71,08/20/2024,Low power,Breakdown,263.55,1238.46,21134.21,33458.18,,Minor Service
KTCB 785B,Tractor,TS 6000,Oil Filter,Engine,AutoGen_2,5812.82,06/02/2025,Reduced engine performance,Emergency,57.81,178.03,25924.13,46458.72,,Major Service
KTCA 587G,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_9,8544.3,11/15/2024,Engine noise,Breakdown,45.69,208.93,22111.13,49865.91,,Major Service
KTCB 148H,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_10,9613.39,09/10/2024,Hydraulic issue,Breakdown,334.49,1509.88,29684.6,45083.83,,Minor Service
KTCC 478G,Tractor,TT 490,Air Filter,Air Intake,AutoGen_9,10381.37,11/02/2025,Reduced air intake,Breakdown,339.8,1167.63,28895.22,59142.4,,Minor Service
KTCA 345D,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_8,13411.0,01/07/2024,Fluid leakage,Preventive,511.12,1942.23,25127.98,46604.52,,Minor Service
KTCC 513H,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_2,13485.55,07/08/2024,Engine noise,Corrective,300.28,1297.58,8156.18,39325.83,,Major Service
KTCC 480D,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_8,14760.24,11/25/2024,Low power,Breakdown,422.3,1452.21,21709.98,49527.96,,Minor Service
KTCB 173A,Tractor,TS 6110,Tyre,Wheels,JKT,13254.25,09/18/2024,New tyre,Emergency,116.96,367.68,27753.37,58577.01,,Minor Service
KTCA 296A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_10,11593.32,12/11/2024,Coolant leakage,Corrective,191.99,715.82,10790.19,27513.33,,Minor Service
KTCB 743E,Tractor,TT 490,Air Filter,Air Intake,AutoGen_10,7601.18,10/09/2024,Reduced air intake,Breakdown,317.39,1325.17,20374.35,41352.18,,Minor Service
KTCA 830B,Tractor,TS 6110,Radiator,Cooling System,AutoGen_2,7203.67,09/24/2024,Overheating,Preventive,42.4,184.43,17407.34,35898.57,,Minor Service
KTCA 111B,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_8,1660.62,05/23/2025,Low pressure,Corrective,160.61,802.39,9975.32,26108.89,,Minor Service
KTCB 203B,Tractor,TS 6000,Radiator,Cooling System,AutoGen_10,10613.54,07/14/2024,Overheating,Emergency,49.26,209.97,9186.33,35119.73,,Minor Service
KTCA 471B,Tractor,TT 490,Radiator,Cooling System,AutoGen_8,12366.02,12/18/2024,Overheating,Preventive,132.48,596.31,21553.27,47938.96,,Minor Service
KTCB 214B,Tractor,TS 6110,Battery,Electrical,AutoGen_5,2249.94,04/15/2025,Low voltage,Corrective,536.03,1829.8,25409.4,37175.74,,Minor Service
KTCC 373G,Tractor,TS 6000,Oil Filter,Engine,AutoGen_4,4004.34,12/11/2024,Reduced engine performance,Corrective,54.56,178.75,15654.65,37999.47,,Major Service
KTCC 307B,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_6,4274.78,06/24/2024,Low pressure,Emergency,376.61,1351.12,28908.19,38721.21,,Minor Service
KTCA 552A,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_9,8694.39,11/26/2024,Hydraulic issue,Preventive,197.72,627.95,26405.47,53024.34,,Minor Service
KTCB 848F,Tractor,TT 490,Spark Plug,Ignition,JKT,10984.9,04/17/2025,Hydraulic issue,Corrective,77.75,370.51,29629.12,50503.07,,Minor Service
KTCA 446F,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_7,2997.59,10/12/2024,Overheating,Preventive,333.93,1575.49,21785.22,33370.58,,Minor Service
KTCB 256D,Tractor,TS 6000,Oil Filter,Engine,AutoGen_7,11584.88,06/27/2024,Reduced engine performance,Preventive,67.24,249.3,19640.51,36970.35,,Major Service
KTCB 873A,Tractor,TS 6110,Alternator,Electrical,AutoGen_5,7893.59,01/27/2025,No power output,Preventive,42.22,147.2,14161.11,28797.01,,Minor Service
KTCA 258B,Tractor,TT 490,Alternator,Electrical,AutoGen_10,6960.04,02/11/2024,Overcharging,Preventive,141.14,609.63,29413.82,55717.97,,Minor Service
KTCA 431H,Tractor,TT 490,Tyre,Wheels,JKT,4081.67,04/11/2024,Puncture,Preventive,328.28,1324.22,5139.84,20639.94,,Minor Service
KTCC 116G,Tractor,TT 490,Alternator,Electrical,AutoGen_3,6556.57,01/14/2025,Overcharging,Emergency,67.03,207.79,24693.93,37751.13,,Minor Service
KTCA 934A,Tractor,TT 490,Spark Plug,Ignition,JKT,4011.85,03/31/2025,Overheating,Emergency,44.97,157.96,26974.33,40718.21,,Minor Service
KTCA 987D,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_1,12196.92,01/27/2025,Clogged filter,Preventive,396.8,1785.85,5863.99,28025.18,,Minor Service
KTCC 379B,Tractor,TT 490,Brake Pads,Braking System,AutoGen_10,7340.4,08/01/2025,Engine noise,Preventive,136.69,477.58,15383.23,33901.23,,Major Service
KTCB 854F,Tractor,TT 490,Battery,Electrical,AutoGen_2,12820.71,02/11/2024,Battery issue,Breakdown,172.58,629.17,14394.99,45989.06,,Minor Service
KTCC 148E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_2,3879.77,03/06/2025,Engine noise,Preventive,58.18,254.48,25434.62,43127.16,,Major Service
KTCB 337C,Tractor,TT 490,Radiator,Cooling System,AutoGen_2,10903.22,10/22/2024,Overheating,Preventive,47.49,158.28,24484.96,54270.75,,Minor Service
KTCB 697E,Tractor,TT 490,Spark Plug,Ignition,AutoGen_1,6639.34,07/10/2024,Low power,Emergency,337.78,1533.2,22890.44,48738.64,,Minor Service
KTCC 751E,Tractor,TT 490,Radiator,Cooling System,AutoGen_8,5238.03,09/25/2024,Coolant leakage,Breakdown,164.95,648.97,28239.77,40842.25,,Minor Service
KTCB 227G,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_2,10871.58,05/01/2025,Engine noise,Corrective,348.7,1144.85,17145.15,39297.25,,Major Service
KTCA 740H,Tractor,TS 6110,Oil Filter,Engine,AutoGen_5,11892.04,10/23/2024,Reduced engine performance,Preventive,367.63,1384.66,19408.79,39350.45,,Major Service
KTCA 339A,Tractor,TS 6000,Oil Filter,Engine,AutoGen_10,6380.19,03/20/2025,Oil leakage,Emergency,423.29,1552.87,27463.56,39915.24,,Minor Service
KTCA 923B,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_8,2095.79,07/09/2024,Clogged filter,Emergency,218.12,981.54,22512.72,44417.35,,Minor Service
KTCB 555C,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_3,14537.25,09/20/2024,Hydraulic issue,Preventive,256.77,1126.46,28142.38,50034.74,,Minor Service
KTCB 272A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_1,11981.77,05/14/2025,Coolant leakage,Emergency,326.78,1446.75,16564.52,36881.83,,Minor Service
KTCC 176F,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,10438.99,02/19/2025,Overheating,Preventive,229.32,1001.36,17515.09,42685.41,,Minor Service
KTCC 585B,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_7,9315.89,03/26/2025,Low power,Corrective,528.84,1990.17,16585.48,34048.71,,Minor Service
KTCC 954G,Tractor,TS 6110,Radiator,Cooling System,AutoGen_8,4084.71,07/06/2025,Overheating,Breakdown,559.88,1922.9,15903.96,26770.22,,Minor Service
KTCC 429A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_2,14376.39,06/06/2025,Low pressure,Emergency,358.95,1426.37,18896.9,51422.68,,Minor Service
KTCB 551F,Tractor,TS 6000,Battery,Electrical,AutoGen_5,7853.04,06/12/2024,Battery issue,Preventive,117.88,581.45,15624.99,29053.25,,Minor Service
KTCA 114H,Tractor,TT 490,Radiator,Cooling System,AutoGen_10,10539.69,05/07/2024,Overheating,Emergency,64.58,257.24,28975.23,55101.12,,Minor Service
KTCB 572A,Tractor,TS 6110,Alternator,Electrical,AutoGen_3,10839.15,02/20/2025,No power output,Preventive,172.95,646.85,17126.64,37448.29,,Minor Service
KTCA 789H,Tractor,TT 490,Tyre,Wheels,JKT,7364.44,08/23/2024,Tyre burst,Breakdown,232.28,1065.48,14825.95,38990.14,,Minor Service
KTCA 534H,Tractor,TS 6000,Oil Filter,Engine,AutoGen_3,3439.19,12/09/2024,Oil leakage,Emergency,336.07,1218.15,23276.26,33540.11,,Minor Service
KTCB 651F,Tractor,TT 490,Brake Pads,Braking System,JKT,10860.05,01/24/2025,Overheating,Breakdown,312.16,1014.99,11508.67,33448.38,,Minor Service
KTCB 246G,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_9,10213.91,08/15/2024,Hydraulic issue,Breakdown,509.56,1786.61,29042.76,53119.71,,Minor Service
KTCA 874G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_9,14437.18,09/14/2024,Overheating,Breakdown,179.86,725.51,27910.77,61640.83,,Minor Service
KTCA 665A,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_5,13948.32,12/30/2024,Hydraulic issue,Corrective,290.08,1091.08,16754.59,47628.34,,Minor Service
KTCC 990D,Tractor,TS 6110,Oil Filter,Engine,AutoGen_4,14590.82,05/21/2025,Reduced engine performance,Emergency,95.56,390.25,8339.02,36220.07,,Major Service
KTCA 807G,Tractor,TS 6110,Radiator,Cooling System,AutoGen_3,8656.94,06/20/2024,Coolant leakage,Corrective,37.63,185.4,11732.73,28153.35,,Minor Service
KTCC 100G,Tractor,TT 490,Oil Filter,Engine,AutoGen_7,11339.98,04/09/2024,Oil leakage,Breakdown,442.36,1833.32,18446.72,37868.84,,Minor Service
KTCC 961B,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_2,10377.46,04/18/2025,Low power,Preventive,159.86,749.72,11763.55,40721.34,,Minor Service
KTCA 172F,Tractor,TS 6110,Alternator,Electrical,AutoGen_7,9067.93,11/12/2024,Electrical failure,Breakdown,159.9,573.41,17939.78,33196.7,,Minor Service
KTCC 263F,Tractor,TS 6000,Radiator,Cooling System,AutoGen_9,9264.97,12/20/2024,Overheating,Preventive,52.65,245.59,24931.79,51335.23,,Minor Service
KTCB 761G,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_6,1889.08,10/24/2024,Fluid leakage,Corrective,355.19,1761.97,10201.75,20349.03,,Minor Service
KTCC 416B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_7,10957.41,09/20/2024,Low power,Breakdown,394.69,1441.46,5084.83,33897.75,,Minor Service
KTCB 246H,Tractor,TS 6000,Radiator,Cooling System,AutoGen_2,6174.15,05/22/2025,Overheating,Preventive,329.02,1261.14,26721.09,45533.22,,Minor Service
KTCA 391C,Tractor,TT 490,Oil Filter,Engine,AutoGen_9,11067.39,04/07/2024,Reduced engine performance,Emergency,358.7,1703.81,8453.46,32361.82,,Major Service
KTCB 733H,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_10,4651.92,08/06/2025,Hydraulic issue,Corrective,213.47,839.17,24450.13,47263.49,,Minor Service
KTCB 623H,Tractor,TT 490,Spark Plug,Ignition,AutoGen_10,9149.34,06/20/2024,Engine noise,Preventive,145.31,664.25,6806.75,25605.37,,Major Service
KTCC 556E,Tractor,TS 6000,Alternator,Electrical,AutoGen_8,5370.27,08/17/2024,No power output,Corrective,422.75,1458.31,9810.31,28215.98,,Minor Service
KTCA 492F,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_7,3684.81,05/07/2024,Engine noise,Corrective,157.27,519.37,25035.6,47878.75,,Major Service
KTCA 270E,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_7,11241.08,01/19/2025,Reduced air intake,Emergency,106.25,492.71,29822.46,49119.8,,Minor Service
KTCC 859G,Tractor,TT 490,Alternator,Electrical,AutoGen_7,1865.45,03/24/2025,Overcharging,Preventive,548.91,1807.99,29853.12,50381.42,,Minor Service
KTCA 210H,Tractor,TS 6000,Alternator,Electrical,AutoGen_3,6596.5,04/24/2025,No power output,Emergency,66.96,253.7,17303.09,43605.62,,Minor Service
KTCC 602H,Tractor,TS 6000,Oil Filter,Engine,AutoGen_1,11779.72,03/01/2025,Oil leakage,Breakdown,285.4,1383.76,26427.99,55798.98,,Minor Service
KTCB 539G,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_9,12340.64,11/12/2024,Clogged filter,Preventive,544.45,1992.44,26854.38,57116.78,,Minor Service
KTCB 937D,Tractor,TS 6000,Radiator,Cooling System,AutoGen_9,3545.25,08/04/2025,Overheating,Preventive,76.5,326.64,8316.63,19400.7,,Minor Service
KTCB 519F,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_8,13620.88,12/27/2024,Low power,Emergency,82.3,348.2,9860.21,41317.23,,Minor Service
KTCA 362G,Tractor,TT 490,Oil Filter,Engine,AutoGen_10,1843.0,05/12/2024,Oil leakage,Emergency,360.39,1527.95,24267.9,37802.43,,Minor Service
KTCB 515A,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_7,6334.46,04/30/2025,Hydraulic issue,Breakdown,196.77,936.57,18937.96,41318.05,,Minor Service
KTCB 290A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_5,8845.21,07/02/2025,Hydraulic issue,Preventive,219.13,952.24,14585.44,35938.44,,Minor Service
KTCC 270D,Tractor,TS 6110,Tyre,Wheels,JKT,4594.62,06/21/2024,Tyre burst,Preventive,242.26,1035.97,11508.04,25252.69,,Minor Service
KTCC 180G,Tractor,TT 490,Oil Filter,Engine,AutoGen_10,3702.38,09/01/2025,Reduced engine performance,Corrective,396.57,1262.12,26415.97,43299.03,,Major Service
KTCA 853A,Tractor,TS 6110,Alternator,Electrical,JKT,9340.38,08/14/2024,No power output,Corrective,48.15,163.51,13821.08,40552.9,,Minor Service
KTCC 624A,Tractor,TT 490,Radiator,Cooling System,AutoGen_7,14319.53,03/20/2025,Coolant leakage,Corrective,129.0,520.99,6363.63,28664.65,,Minor Service
KTCC 303G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_7,7993.0,07/23/2024,Low power,Preventive,403.92,1351.15,5645.74,27478.12,,Minor Service
KTCC 445H,Tractor,TS 6000,Tyre,Wheels,JKT,10385.2,06/20/2024,Tyre burst,Corrective,402.14,1472.27,27583.09,56980.5,,Minor Service
KTCA 585B,Tractor,TS 6110,Radiator,Cooling System,AutoGen_2,14113.47,02/01/2025,Overheating,Emergency,300.63,1214.87,6109.27,29220.79,,Minor Service
KTCC 841G,Tractor,TS 6110,Oil Filter,Engine,AutoGen_7,13815.23,10/15/2024,Oil leakage,Corrective,194.63,876.02,22859.49,42461.64,,Minor Service
KTCB 296B,Tractor,TS 6000,Alternator,Electrical,AutoGen_5,2696.35,10/24/2024,Electrical failure,Corrective,285.48,1029.32,26392.42,37063.45,,Minor Service
KTCA 706C,Tractor,TT 490,Tyre,Wheels,JKT,10408.54,03/05/2025,Tyre burst,Preventive,345.4,1288.31,7565.22,31161.33,,Minor Service
KTCB 609A,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_1,13091.85,12/23/2024,Low power,Corrective,207.59,897.51,27211.63,52974.67,,Minor Service
KTCC 818E,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_4,4961.71,11/10/2024,Hydraulic issue,Breakdown,336.41,1155.48,25124.47,37971.35,,Minor Service
KTCB 856G,Tractor,TS 6000,Brake Pads,Braking System,JKT,7956.29,11/22/2024,Low power,Breakdown,112.56,496.84,28688.54,45434.31,,Minor Service
KTCA 719G,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_8,13340.17,01/04/2025,Fluid leakage,Emergency,268.32,1156.08,16112.65,35001.48,,Minor Service
KTCA 619H,Tractor,TS 6000,Oil Filter,Engine,AutoGen_8,2005.83,02/08/2024,Oil leakage,Breakdown,87.9,356.34,29388.84,47740.45,,Minor Service
KTCA 620H,Tractor,TS 6110,Alternator,Electrical,AutoGen_9,3224.63,03/16/2025,No power output,Emergency,379.54,1343.34,21181.98,41154.53,,Minor Service
KTCC 721E,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_7,2984.85,08/01/2025,Reduced air intake,Breakdown,259.71,1224.46,8094.14,29637.77,,Minor Service
KTCC 671D,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_5,3979.01,10/24/2024,Low power,Preventive,177.62,633.65,21299.79,45236.04,,Minor Service
KTCB 547C,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_3,11727.42,01/27/2025,Hydraulic issue,Breakdown,539.61,1996.07,24523.07,50371.68,,Minor Service
KTCC 917E,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_10,12498.16,02/18/2025,Low pressure,Corrective,389.5,1944.61,24633.26,53459.79,,Minor Service
KTCA 502B,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_2,3961.76,05/25/2025,Engine noise,Corrective,526.56,1800.56,5689.32,18798.05,,Major Service
KTCC 241D,Tractor,TT 490,Battery,Electrical,AutoGen_10,8630.32,01/11/2024,Low voltage,Breakdown,179.46,822.08,18248.04,46696.55,,Minor Service
KTCA 585H,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_2,8089.52,02/28/2025,Low power,Preventive,98.27,418.69,16752.11,43126.08,,Minor Service
KTCC 209C,Tractor,TT 490,Battery,Electrical,AutoGen_10,10400.91,05/01/2025,Battery issue,Breakdown,331.62,1514.69,12725.74,32017.85,,Minor Service
KTCB 657A,Tractor,TS 6000,Alternator,Electrical,AutoGen_3,8946.51,10/14/2024,Overcharging,Breakdown,105.65,472.3,26044.65,44862.43,,Minor Service
KTCB 228G,Tractor,TS 6110,Alternator,Electrical,AutoGen_2,4748.75,09/25/2024,Electrical failure,Breakdown,386.06,1278.73,19639.81,42136.77,,Minor Service
KTCC 241D,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_7,3401.73,10/20/2024,Hydraulic issue,Breakdown,217.5,867.15,29841.48,47923.97,,Minor Service
KTCB 277B,Tractor,TS 6000,Alternator,Electrical,AutoGen_6,13706.04,09/06/2025,No power output,Corrective,125.41,570.07,5412.92,32649.33,,Minor Service
KTCB 887D,Tractor,TT 490,Alternator,Electrical,AutoGen_9,6925.37,08/13/2024,Electrical failure,Emergency,306.47,954.68,24784.79,48327.94,,Minor Service
KTCA 789D,Tractor,TT 490,Air Filter,Air Intake,AutoGen_4,5880.16,01/03/2025,Clogged filter,Emergency,66.66,323.16,24232.57,46526.4,,Minor Service
KTCA 488B,Tractor,TS 6110,Radiator,Cooling System,AutoGen_3,11693.81,06/29/2024,Overheating,Emergency,392.55,1476.03,19110.14,36936.27,,Minor Service
KTCC 358B,Tractor,TT 490,Battery,Electrical,AutoGen_7,14208.65,05/12/2024,Won't start,Corrective,104.9,362.25,8741.8,37480.94,,Minor Service
KTCC 321E,Tractor,TS 6000,Tyre,Wheels,JKT,3457.53,11/05/2025,New tyre,Preventive,184.03,718.03,19000.97,27941.98,,Minor Service
KTCA 911H,Tractor,TT 490,Brake Pads,Braking System,JKT,8238.74,07/08/2024,Overheating,Corrective,44.94,191.5,29451.6,53689.28,,Minor Service
KTCA 646H,Tractor,TS 6000,Radiator,Cooling System,AutoGen_7,9904.67,10/11/2024,Coolant leakage,Emergency,468.74,1626.44,13791.82,40878.04,,Minor Service
KTCB 781A,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,10983.48,08/25/2024,Low power,Preventive,213.71,683.71,18185.63,46642.78,,Minor Service
KTCC 908G,Tractor,TT 490,Radiator,Cooling System,JKT,3982.28,09/24/2024,Coolant leakage,Emergency,60.55,298.55,26263.23,48829.19,,Minor Service
KTCB 526H,Tractor,TS 6110,Tyre,Wheels,JKT,13530.89,12/09/2024,Puncture,Preventive,192.29,805.17,20172.6,44396.32,,Minor Service
KTCB 259D,Tractor,TS 6000,Oil Filter,Engine,AutoGen_5,4605.26,01/11/2024,Reduced engine performance,Corrective,52.05,161.16,19445.66,31662.13,,Major Service
KTCB 840F,Tractor,TT 490,Battery,Electrical,AutoGen_2,8991.61,05/21/2025,Won't start,Corrective,163.92,746.42,14517.35,39946.96,,Minor Service
KTCC 693H,Tractor,TT 490,Radiator,Cooling System,AutoGen_3,14969.69,05/21/2025,Overheating,Emergency,471.51,1657.06,27121.84,49862.07,,Minor Service
